Distance_(pixels)	Gray_Value
0	0.000
1	3.001
2	14.976
3	34.423
4	61.900
5	93.946
6	128.105
7	162.621
8	193.957
9	220.605
10	241.283
11	252.206
12	254.053
13	247.362
14	231.535
15	208.058
16	179.022
17	146.869
18	112.040
19	79.277
20	49.601
21	25.544
22	9.645
23	1.148
24	0.948
25	11.478
26	29.452
27	53.809
28	83.366
29	116.441
30	149.955
31	182.487
32	210.040
33	232.008
34	247.621
35	254.137
36	252.105
37	242.245
38	224.477
39	199.396
40	170.221
41	138.195
42	104.752
43	73.457
44	45.829
45	23.034
46	8.495
47	1.272
48	1.797
49	11.550
50	28.129
51	50.720
52	79.605
53	111.187
54	143.339
55	174.457
56	202.429
57	225.948
58	243.293
59	252.504
60	254.251
61	248.440
62	234.314
63	213.444
64	187.396
65	157.367
66	125.795
67	94.281
68	64.585
69	39.595
70	19.881
71	6.255
72	0.355
73	2.824
74	12.343
75	28.236
76	51.127
77	77.929
78	108.157
79	139.274
80	169.238
81	197.154
82	221.711
83	238.702
84	250.024
85	254.936
86	251.635
87	240.724
88	224.260
89	201.962
90	174.487
91	144.903
92	114.327
93	84.624
94	57.290
95	33.915
96	16.400
97	5.003
98	0.669
99	2.170
100	12.217
101	28.510
102	49.654
103	75.083
104	104.109
105	133.812
106	163.515
107	190.530
108	214.699
109	233.868
110	246.938
111	253.754
112	253.995
113	247.990
114	234.248
115	215.446
116	192.601
117	165.175
118	136.748
119	107.663
120	79.375
121	54.034
122	32.394
123	15.281
124	4.853
125	0.519
126	2.113
127	10.493
128	25.061
129	44.431
130	67.888
131	94.925
132	123.088
133	151.373
134	179.077
135	203.661
136	224.312
137	240.529
138	250.273
139	254.422
140	253.901
141	245.286
142	231.305
143	212.773
144	189.456
145	164.047
146	136.873
147	108.584
148	82.077
149	57.537
150	35.881
151	18.725
152	7.542
153	1.268
154	0.016
155	6.091
156	17.173
157	32.913
158	53.807
159	77.843
160	103.859
161	130.733
162	157.607
163	183.302
164	206.457
165	225.374
166	240.475
167	250.804
168	254.518
169	253.153
170	246.729
171	235.188
172	218.442
173	197.866
174	175.011
175	148.973
176	122.874
177	96.666
178	71.957
179	49.780
180	30.926
181	14.921
182	5.528
183	0.673
184	0.796
185	6.400
186	17.255
187	32.098
188	50.776
189	72.781
190	96.874
191	122.801
192	148.260
193	172.493
194	195.263
195	215.547
196	231.979
197	244.289
198	252.167
199	254.790
200	252.641
201	245.856
202	234.531
203	218.137
204	199.249
205	177.678
206	153.676
207	128.844
208	103.596
209	80.193
210	58.554
211	38.720
212	22.561
213	11.221
214	3.487
215	0.008
216	1.724
217	8.087
218	18.166
219	32.384
220	50.606
221	70.913
222	93.048
223	117.093
224	141.139
225	164.923
226	186.879
227	206.761
228	224.264
229	238.130
230	247.793
231	253.795
232	254.842
233	252.219
234	244.906
235	234.058
236	219.138
237	201.150
238	181.395
239	159.230
240	136.065
241	112.969
242	90.380
243	69.162
244	49.631
245	32.262
246	18.460
247	8.920
248	2.342
249	0.019
250	1.291
251	7.367
252	16.580
253	29.512
254	45.709
255	64.056
256	84.402
257	106.185
258	128.543
259	150.358
260	172.250
261	191.977
262	209.875
263	225.938
264	238.183
265	247.600
266	253.447
267	254.939
268	253.080
269	247.480
270	238.727
271	226.664
272	211.772
273	194.193
274	175.207
275	154.488
276	133.272
277	112.055
278	91.205
279	71.345
280	52.526
281	36.609
282	23.372
283	12.323
284	4.536
285	1.086
286	0.138
287	1.883
288	8.557
289	17.682
290	29.847
291	44.622
292	61.409
293	79.599
294	98.788
295	119.446
296	139.944
297	160.186
298	179.428
299	196.965
300	213.281
301	227.426
302	238.587
303	246.776
304	252.943
305	254.820
306	254.019
307	251.057
308	244.075
309	234.314
310	222.637
311	208.238
312	191.839
313	174.155
314	155.304
315	136.324
316	116.804
317	97.807
318	78.769
319	61.934
320	46.311
321	31.751
322	20.436
323	11.210
324	4.940
325	0.671
326	0.000
327	1.553
328	5.796
329	13.186
330	22.616
331	34.594
332	48.572
333	64.047
334	80.399
335	97.990
336	116.218
337	134.605
338	152.991
339	170.825
340	187.658
341	203.197
342	217.341
343	228.858
344	238.782
345	246.887
346	252.083
347	254.644
348	254.767
349	252.697
350	248.301
351	241.216
352	232.730
353	221.240
354	208.510
355	194.658
356	178.513
357	162.319
358	145.289
359	127.660
360	110.675
361	93.794
362	77.751
363	62.192
364	48.092
365	35.642
366	24.289
367	15.431
368	8.028
369	3.231
370	0.771
371	0.142
372	1.341
373	4.788
374	10.979
375	18.503
376	27.780
377	38.912
378	51.535
379	65.680
380	80.373
381	95.864
382	111.447
383	127.726
384	143.540
385	159.099
386	174.658
387	188.833
388	202.180
389	214.686
390	225.351
391	235.016
392	242.822
393	248.479
394	252.441
395	254.577
396	254.994
397	253.833
398	250.174
399	245.218
400	238.146
401	229.888
402	220.202
403	208.887
404	197.061
405	183.748
406	170.409
407	155.583
408	140.842
409	125.930
410	110.932
411	96.704
412	82.698
413	69.574
414	56.844
415	45.102
416	34.228
417	25.112
418	16.995
419	10.524
420	5.823
421	2.122
422	0.309
423	0.023
424	0.737
425	3.583
426	7.712
427	12.842
428	20.347
429	28.736
430	37.436
431	47.981
432	59.260
433	71.023
434	83.752
435	96.889
436	110.331
437	123.945
438	137.249
439	150.402
440	163.132
441	175.861
442	187.414
443	198.730
444	210.034
445	219.025
446	227.833
447	235.229
448	241.625
449	247.021
450	250.984
451	253.813
452	254.885
453	255.000
454	254.700
455	251.871
456	248.803
457	244.427
458	238.769
459	231.890
460	224.181
461	215.694
462	206.671
463	196.648
464	185.793
465	175.185
466	163.700
467	151.700
468	140.385
469	128.170
470	116.601
471	104.438
472	93.123
473	82.070
474	71.540
475	61.035
476	51.530
477	42.909
478	34.519
479	27.447
480	20.589
481	14.671
482	9.753
483	5.836
484	2.919
485	1.003
486	0.087
487	0.000
488	0.255
489	2.340
490	4.890
491	8.451
492	12.694
493	17.368
494	23.272
495	29.707
496	36.779
497	44.822
498	53.308
499	61.795
500	70.650
501	80.082
502	89.297
503	99.198
504	109.099
505	119.265
506	129.879
507	139.802
508	149.633
509	158.660
510	168.505
511	177.634
512	186.120
513	194.607
514	202.836
515	210.150
516	217.222
517	223.898
518	229.693
519	235.265
520	240.070
521	244.043
522	247.662
523	250.491
524	252.496
525	254.492
526	255.000
527	255.000
528	254.833
529	253.768
530	252.354
531	250.658
532	247.993
533	244.328
534	240.967
535	236.715
536	231.597
537	226.759
538	221.153
539	215.460
540	209.036
541	202.338
542	195.902
543	188.830
544	181.234
545	173.686
546	166.356
547	158.565
548	150.669
549	142.945
550	135.326
551	127.359
552	119.563
553	112.101
554	104.403
555	96.965
556	89.893
557	82.820
558	75.748
559	69.230
560	62.682
561	56.468
562	50.368
563	44.736
564	39.807
565	34.726
566	30.223
567	25.079
568	21.725
569	17.736
570	14.553
571	11.724
572	8.895
573	6.479
574	4.234
575	2.704
576	1.416
577	0.879
578	0.053
579	0.000
580	0.000
581	0.000
582	0.358
583	1.611
584	3.025
585	4.440
586	5.854
587	7.537
588	10.366
589	12.399
590	15.024
591	17.853
592	21.131
593	24.511
594	27.502
595	31.125
596	34.996
597	39.239
598	43.482
599	46.869
600	51.077
601	56.212
602	60.455
603	64.699
604	68.967
605	73.932
606	78.429
607	82.749
608	87.887
609	92.158
610	97.042
611	101.657
612	106.552
613	111.132
614	115.427
615	120.495
616	124.861
617	129.105
618	133.348
619	137.591
620	141.835
621	146.078
622	150.321
623	154.564
624	158.808
625	163.042
626	166.579
627	170.359
628	173.781
629	178.024
630	181.178
631	184.447
632	187.834
633	191.109
634	194.494
635	197.322
636	200.151
637	202.980
638	205.809
639	208.638
640	211.086
641	213.296
642	216.063
643	218.022
644	220.584
645	222.588
646	224.700
647	226.456
648	228.549
649	229.963
650	231.378
651	233.427
652	235.207
653	236.621
654	238.035
655	239.051
656	239.869
657	241.279
658	242.573
659	243.107
660	244.522
661	245.219
662	246.320
663	246.986
664	247.832
665	248.506
666	249.008
667	249.917
668	250.175
669	251.000
670	251.000
671	251.789
672	252.061
673	252.912
674	253.000
675	253.000
676	253.147
677	253.953
678	254.000
679	254.000
680	254.000
681	254.375
682	255.000
683	255.000
684	255.000
685	255.000
686	255.000
687	255.000
688	255.000
689	255.000
690	255.000
691	255.000
692	255.000
693	255.000
694	255.000
695	255.000
696	255.000
697	255.000
698	255.000
699	255.000
700	255.000
701	255.000
702	255.000
703	255.000
704	255.000
705	255.000
706	255.000
707	255.000
708	255.000
709	255.000
710	255.000
711	255.000
712	255.000
713	255.000
714	255.000
715	255.000
716	255.000
717	255.000
718	255.000
719	255.000
720	255.000
721	255.000
722	255.000
723	255.000
724	255.000
725	255.000
726	255.000
727	255.000
728	255.000
729	255.000
730	255.000
731	255.000
732	254.102
733	254.000
734	254.000
735	254.000
736	253.741
737	253.000
738	253.000
739	253.000
740	252.438
741	251.998
742	251.434
743	251.000
744	250.694
745	250.016
746	249.662
747	248.917
748	248.008
749	247.506
750	246.832
751	245.779
752	245.031
753	243.936
754	242.943
755	242.105
756	240.693
757	239.409
758	238.864
759	237.450
760	236.035
761	234.585
762	232.402
763	230.792
764	229.378
765	227.927
766	225.624
767	223.947
768	221.700
769	219.588
770	217.090
771	214.953
772	212.124
773	210.191
774	207.467
775	204.638
776	201.809
777	198.980
778	196.151
779	193.322
780	189.633
781	186.553
782	182.836
783	180.007
784	176.267
785	172.323
786	168.764
787	165.115
788	161.294
789	157.051
790	152.808
791	148.564
792	144.321
793	140.078
794	135.835
795	131.591
796	127.348
797	123.105
798	118.276
799	113.618
800	109.375
801	104.404
802	99.854
803	94.848
804	90.402
805	85.639
806	80.915
807	76.672
808	71.755
809	67.185
810	62.942
811	58.699
812	54.007
813	49.213
814	45.420
815	41.726
816	37.482
817	33.239
818	29.746
819	26.168
820	23.339
821	19.653
822	16.682
823	13.854
824	11.578
825	9.195
826	6.683
827	5.269
828	3.854
829	2.440
830	1.025
831	0.093
832	0.000
833	0.000
834	0.000
835	0.274
836	1.053
837	1.879
838	3.290
839	5.285
840	7.238
841	10.066
842	12.895
843	15.757
844	19.342
845	23.218
846	27.330
847	32.060
848	36.817
849	41.726
850	47.052
851	52.710
852	59.162
853	65.468
854	71.682
855	78.676
856	85.748
857	92.820
858	99.893
859	107.711
860	115.078
861	122.939
862	130.563
863	138.359
864	146.326
865	153.945
866	161.669
867	169.542
868	176.614
869	184.500
870	191.758
871	198.830
872	204.998
873	211.817
874	217.837
875	223.495
876	228.883
877	233.759
878	238.597
879	242.434
880	245.967
881	249.218
882	251.468
883	252.939
884	254.322
885	254.987
886	255.000
887	254.911
888	253.977
889	251.657
890	249.320
891	246.252
892	242.689
893	237.960
894	233.008
895	227.351
896	221.253
897	214.294
898	207.216
899	199.534
900	191.093
901	182.607
902	174.120
903	164.406
904	155.044
905	145.604
906	135.703
907	125.606
908	114.901
909	105.000
910	95.099
911	85.470
912	76.276
913	66.867
914	58.281
915	49.795
916	41.308
917	33.851
918	27.001
919	20.636
920	15.313
921	10.938
922	6.748
923	3.784
924	1.355
925	0.000
926	0.000
927	0.345
928	1.675
929	4.006
930	7.337
931	11.668
932	17.000
933	23.331
934	30.375
935	37.936
936	46.423
937	55.344
938	65.263
939	76.035
940	86.540
941	97.808
942	109.475
943	121.429
944	133.126
945	145.069
946	156.432
947	168.628
948	179.577
949	190.310
950	200.919
951	210.528
952	219.208
953	227.694
954	234.818
955	241.112
956	246.568
957	250.175
958	253.042
959	255.000
960	255.000
961	254.600
962	252.642
963	249.718
964	244.908
965	239.099
966	232.288
967	224.478
968	215.181
969	205.361
970	194.045
971	182.730
972	170.591
973	157.861
974	145.132
975	131.620
976	118.249
977	104.945
978	91.331
979	78.482
980	65.891
981	54.576
982	43.494
983	33.709
984	25.222
985	17.102
986	10.597
987	5.882
988	2.166
989	0.320
990	0.020
991	0.720
992	3.532
993	7.648
994	12.763
995	20.234
996	28.765
997	38.471
998	49.786
999	62.115
1000	74.890
1001	88.422
1002	102.560
1003	117.262
1004	131.932
1005	146.930
1006	161.842
1007	175.980
1008	189.442
1009	202.078
1010	213.571
1011	224.887
1012	233.402
1013	241.074
1014	247.687
1015	251.931
1016	254.556
1017	254.944
1018	254.110
1019	250.974
1020	246.137
1021	240.215
1022	231.136
1023	221.057
1024	209.639
1025	196.909
1026	182.977
1027	168.216
1028	152.658
1029	137.099
1030	120.865
1031	104.982
1032	89.423
1033	74.169
1034	59.823
1035	45.679
1036	34.228
1037	23.818
1038	15.123
1039	8.051
1040	3.239
1041	0.625
1042	0.007
1043	1.637
1044	5.095
1045	10.458
1046	18.945
1047	28.746
1048	40.743
1049	53.492
1050	68.634
1051	84.272
1052	100.729
1053	117.702
1054	134.837
1055	152.636
1056	168.953
1057	185.319
1058	200.586
1059	213.902
1060	226.217
1061	236.243
1062	244.601
1063	250.501
1064	253.675
1065	254.967
1066	254.208
1067	250.062
1068	243.774
1069	234.841
1070	224.424
1071	211.485
1072	197.057
1073	180.810
1074	163.563
1075	145.380
1076	126.993
1077	108.605
1078	90.829
1079	73.164
1080	57.605
1081	42.542
1082	29.392
1083	18.243
1084	9.950
1085	4.040
1086	0.000
1087	0.000
1088	2.196
1089	7.293
1090	14.391
1091	25.120
1092	37.621
1093	52.658
1094	68.695
1095	86.530
1096	105.769
1097	124.807
1098	144.303
1099	163.273
1100	181.430
1101	198.871
1102	214.442
1103	227.902
1104	238.637
1105	247.208
1106	252.681
1107	254.758
1108	254.298
1109	250.511
1110	243.915
1111	234.408
1112	221.570
1113	206.911
1114	189.938
1115	171.583
1116	151.927
1117	131.271
1118	110.944
1119	90.723
1120	71.947
1121	54.172
1122	38.384
1123	24.465
1124	13.304
1125	5.611
1126	0.918
1127	0.060
1128	2.017
1129	7.639
1130	16.444
1131	28.474
1132	42.956
1133	60.172
1134	79.446
1135	99.720
1136	120.839
1137	142.055
1138	163.272
1139	183.189
1140	201.711
1141	218.466
1142	231.944
1143	242.593
1144	250.410
1145	254.346
1146	254.564
1147	251.548
1148	244.398
1149	233.239
1150	219.409
1151	202.926
1152	184.035
1153	163.308
1154	141.250
1155	119.358
1156	97.046
1157	75.738
1158	56.218
1159	38.699
1160	23.915
1161	12.106
1162	4.226
1163	0.521
1164	0.509
1165	4.258
1166	12.706
1167	23.931
1168	38.663
1169	57.586
1170	77.704
1171	99.707
1172	122.338
1173	145.777
1174	168.527
1175	190.278
1176	208.762
1177	225.436
1178	239.357
1179	248.620
1180	253.548
1181	254.856
1182	252.425
1183	243.995
1184	232.632
1185	217.747
1186	198.792
1187	177.911
1188	155.229
1189	131.184
1190	107.139
1191	83.761
1192	62.042
1193	42.736
1194	26.255
1195	13.346
1196	4.785
1197	0.650
1198	1.084
1199	5.598
1200	15.619
1201	29.129
1202	46.122
1203	67.338
1204	89.760
1205	113.925
1206	139.385
1207	163.631
1208	186.851
1209	207.551
1210	225.409
1211	239.462
1212	249.367
1213	254.333
1214	254.068
1215	249.215
1216	240.394
1217	225.500
1218	207.513
1219	186.004
1220	162.741
1221	137.720
1222	111.923
1223	86.657
1224	63.392
1225	42.801
1226	25.127
1227	12.107
1228	3.837
1229	0.055
1230	1.523
1231	9.295
1232	21.399
1233	37.864
1234	58.628
1235	82.065
1236	107.394
1237	133.604
1238	159.874
1239	184.604
1240	207.235
1241	225.755
1242	240.209
1243	250.519
1244	254.394
1245	253.344
1246	247.260
1247	235.060
1248	217.813
1249	196.992
1250	173.355
1251	146.481
1252	119.607
1253	92.891
1254	67.420
1255	44.914
1256	25.957
1257	11.589
1258	2.920
1259	0.292
1260	2.907
1261	11.231
1262	25.585
1263	44.411
1264	67.224
1265	92.897
1266	120.296
1267	148.503
1268	174.821
1269	199.231
1270	221.140
1271	238.071
1272	249.217
1273	254.406
1274	254.020
1275	246.963
1276	233.937
1277	216.623
1278	194.090
1279	167.729
1280	139.665
1281	111.376
1282	83.507
1283	58.055
1284	35.390
1285	18.178
1286	6.781
1287	0.700
1288	0.806
1289	8.896
1290	22.001
1291	40.408
1292	64.075
1293	91.086
1294	119.626
1295	148.638
1296	176.651
1297	202.508
1298	223.966
1299	240.633
1300	250.961
1301	254.964
1302	251.863
1303	242.013
1304	226.503
1305	205.739
1306	179.405
1307	151.218
1308	121.515
1309	91.812
1310	64.313
1311	40.339
1312	20.567
1313	7.694
1314	1.118
1315	0.972
1316	8.946
1317	23.287
1318	42.678
1319	68.028
1320	96.921
1321	127.030
1322	157.323
1323	186.201
1324	211.557
1325	232.266
1326	246.078
1327	253.608
1328	253.793
1329	246.533
1330	232.060
1331	211.666
1332	186.644
1333	156.941
1334	126.392
1335	95.325
1336	66.260
1337	41.286
1338	21.148
1339	6.743
1340	1.113
1341	2.191
1342	10.638
1343	27.239
1344	49.577
1345	76.536
1346	107.025
1347	138.987
1348	170.042
1349	199.117
1350	222.945
1351	240.405
1352	252.129
1353	254.922
1354	249.176
1355	236.662
1356	217.550
1357	191.253
1358	161.574
1359	130.250
1360	97.719
1361	67.525
1362	40.730
1363	19.847
1364	6.849
1365	1.094
1366	2.657
1367	13.448
1368	31.986
1369	56.757
1370	85.876
1371	118.479
1372	151.575
1373	183.170
1374	210.446
1375	232.197
1376	247.683
1377	254.193
1378	252.168
1379	241.804
1380	224.259
1381	199.179
1382	169.018
1383	136.334
1384	102.388
1385	70.886
1386	43.028
1387	20.689
1388	6.402
1389	0.667
1390	2.432
1391	15.362
1392	35.018
1393	61.282
1394	92.405
1395	126.338
1396	160.354
1397	192.004
1398	218.509
1399	238.573
1400	251.753
1401	254.850
1402	248.048
1403	233.627
1404	210.576
1405	181.387
1406	148.453
1407	113.626
1408	80.250
1409	50.161
1410	25.325
